familyname,genus,scname,chname,fullname,url,published_literature,first_record_in_Taiwan,synonyms,namereference,characteristics,distribution_Taiwan,distribution_World,dreference
Lauraceae,Cinnamomum 樟屬,Cinnamomum kotoense,蘭嶼肉桂,Cinnamomum kotoense Kanehira &amp; Sasaki,https://tai2.ntu.edu.tw/species/333%20003%2007%200,"['Kanehira &amp; Sasaki, Transactions of the Natural History Society of Formosa <b>20</b>: 380.<i> fig. 150.</i>  1930. &nbsp;(Trans. Nat. Hist. Soc. Formos.,&nbsp;台灣博物學會會報)']","['Kanehira &amp; Sasaki, Transactions of the Natural History Society of Formosa <b>20</b>: 380.<i> fig. 150.</i>  1930. &nbsp;(Trans. Nat. Hist. Soc. Formos.,&nbsp;台灣博物學會會報)']","['Cinnamomum myrianthum</em> <em>auct. non</em> Merr.#####Li, Woody Flora of Taiwan 203. 1963. &nbsp;(Woody Fl. Taiwan)']","['Yeh-Ching Liu, Fu-Yuan Lu &amp; Chern-Hsiung Ou, Trees of Taiwan revised . 1994. &nbsp;(Tr. Taiwan rev. ed.,&nbsp;台灣樹木誌第二版)', 'Yang, A list of plants in Taiwan . 1982. &nbsp;(List Pl. Taiwan,&nbsp;台灣植物名彙)']","Evergreen trees; trunk up to 4.5 m tall, 12 cm across; branchlets stout, glabrous.
Leaves opposite to subopposite, coriaceous, ovate to ovate-oblong, acute to rarely acuminate at apex, rounded, often obtuse at base, 10-18 cm long, 6-9 cm broad, with 3 main veins, midrib and lateral veins somewhat prominent above, elevated beneath, reticulate veinlets slightly prominent above, prominent beneath, margins slightly revolute; petioles stout, glabrous 1.2-2 cm long.
Inflorescences cymose-panicles, ca. 3-5 cm long, glabrous; receptacles 2 mm long; tepals 6, oblong, 3 mm long, 2 mm broad, tomentose outside.
Fruit ellipsoid, ca. 1.4 cm long, 1 cm broad; pedicels ca. 1 cm long, glabrous.",known only from Lanyu Is.,,"['<a href=""/ebooks/FlTaiwan2nd/2/443"" target=""_blank"">LlAO, JIH CHING, Flora of Taiwan, second edition <b>2</b>: 443. 1996. &nbsp;(Fl. Taiwan 2nd edit.,&nbsp;台灣植物誌第二版)</a>']"
Lauraceae,Cinnamomum 樟屬,Cinnamomum macrostemon,胡氏肉桂,Cinnamomum macrostemon Hayata,https://tai2.ntu.edu.tw/species/333%20003%2008%200,"['<a href=""/ebooks/IconPlFormos/3/160"" target=""_blank"">Hayata, Icones Plantarum Formosanarum <b>3</b>: 160. 1913. &nbsp;(Icon. Pl. Formos.,&nbsp;台灣植物圖譜)</a>']","['<a href=""/ebooks/IconPlFormos/3/160"" target=""_blank"">Hayata, Icones Plantarum Formosanarum <b>3</b>: 160. 1913. &nbsp;(Icon. Pl. Formos.,&nbsp;台灣植物圖譜)</a>']",[],"['Yeh-Ching Liu, Fu-Yuan Lu &amp; Chern-Hsiung Ou, Trees of Taiwan revised . 1994. &nbsp;(Tr. Taiwan rev. ed.,&nbsp;台灣樹木誌第二版)']","Medium-sized Evergreen trees; branchlets erect, slender, glabrous; winter buds with 9 imbricate seales, scales with brown hairs
Leaves chartaceous, somewhat polished above, dull beneath, ovate-lanceolate to oblong-lanceolate, 10-15 cm long, 3-4 cm wide, acuminate to obtuse apex, acute or suddenly acute at base, with 3 main veins, nerves finely prominent on both sides, not fragrant when crushed; petioles 1 cm long, widely furrowed above.
Inflorescences cymose-paniculate, axillary or terminal, 2-3 cm long; peduncules pubescent, 4-angled; pedicels 4-5 mm long, pubescent; perianth broadly campanulate, sericeous on both sides, deeply 6-lobed; lobes oblong, 6 mm long, 2 mm wide, obtuse at apex, sericeous outside; stamens 9, fertile, 5 mm long, filaments hirsute, anthers narrowed, 1.5-2 mm long, 0.5-0.66 mm wide, 1st and 2nd whorls of stamens glandular, anthers 4-celled, introrse, 3rd whorl of stamens with sessile glandules on both sides, anthers 4-celled, extrorse, 4th whorl of stamens staminodes, 3 mm long, sagittate-shaped at apex, hirsute; ovary obovoid, 1 mm long, style 3 mm long, stigma expanded, 3-lobed.",at medium altitudes throughout the island.,,"['<a href=""/ebooks/FlTaiwan2nd/2/443"" target=""_blank"">LlAO, JIH CHING, Flora of Taiwan, second edition <b>2</b>: 443. 1996. &nbsp;(Fl. Taiwan 2nd edit.,&nbsp;台灣植物誌第二版)</a>']"
Lauraceae,Cinnamomum 樟屬,Cinnamomum micranthum,冇樟,Cinnamomum micranthum (Hayata) Hayata,https://tai2.ntu.edu.tw/species/333%20003%2009%200,"['<a href=""/ebooks/IconPlFormos/3/160"" target=""_blank"">Hayata, Icones Plantarum Formosanarum <b>3</b>: 160. 1913. &nbsp;(Icon. Pl. Formos.,&nbsp;台灣植物圖譜)</a>']","['<a href=""/ebooks/IconPlFormos/3/160"" target=""_blank"">Hayata, Icones Plantarum Formosanarum <b>3</b>: 160. 1913. &nbsp;(Icon. Pl. Formos.,&nbsp;台灣植物圖譜)</a>']","['Machilus micrantha</em> Hayata#####Hayata, Icones Plantarum Formosanarum <b>2</b>: 130. 1912. &nbsp;(Icon. Pl. Formos.,&nbsp;台灣植物圖譜)', 'Cinnamomum xanthophyllum</em> H. W. Li#####H. W. Li, Acta phytotaxonomica sinica eng <b>13</b>(4): 47. 1975. &nbsp;(Acta Phytotax. Sin.,&nbsp;植物分類學報)']",[],"Evergreen trees; branchlets blackish, glabrous when dry; buds ovate, 1 cm long, 0.7 cm broad, scales tomentose outside.
Leaves alternate, thick chartaceous, oblong to broadly elliptic, 9-15 cm long, 4-5 cm long, short acuminate at apex, acute to obtuse at base, greenish-yellow above, brown beneath when dry, with 3 main veins, sweet-odored, shinning and glabrous above, hairy in vein axils beneath, other lateral veins 3 or 4 pairs on upper part of blade; petioles blackish, stout when dry, 1.5-2.5 cm long, glabrous.
Inflorescences cymose panicles, 4-5 cm long, terminal or axillary; pedicels 2-3 mm long; flowers campanulate; tepals 6, subequal, oblong, ca. 2 mm long, 0.8 mm broad, glabrous outside, hairy inside; 1st and 2nd whorles of stamens ca. 1.5 mm long, eglandular, anthers introrse, hirsute at base, 3rd whorl of stamens with 2 subsessile glands, anthers 4-celled, extrorse, filaments hirsute at base, 4th whorl staminodia, sagittate at apex.
Fruit ellipsoid, 1.4-1.5 cm long, 1 cm across, glabrous; seeds ellipsoid, 1-1.3 cm long, 8-9 mm across.","in broad-leaved forests from lowlands to 1,800 m.",South China and the Philippines.,"['<a href=""/ebooks/FlTaiwan2nd/2/445"" target=""_blank"">LlAO, JIH CHING, Flora of Taiwan, second edition <b>2</b>: 445. 1996. &nbsp;(Fl. Taiwan 2nd edit.,&nbsp;台灣植物誌第二版)</a>']"
Lauraceae,Cinnamomum 樟屬,Cinnamomum osmophloeum,土肉桂,Cinnamomum osmophloeum Kanehira,https://tai2.ntu.edu.tw/species/333%20003%2010%200,"['Kanehira, Formosan Trees 428. 1917. &nbsp;(Formos. Trees,&nbsp;台灣樹木誌)']","['Kanehira, Formosan Trees 428. 1917. &nbsp;(Formos. Trees,&nbsp;台灣樹木誌)']",[],"['Yeh-Ching Liu, Fu-Yuan Lu &amp; Chern-Hsiung Ou, Trees of Taiwan revised . 1994. &nbsp;(Tr. Taiwan rev. ed.,&nbsp;台灣樹木誌第二版)', 'Yang, A list of plants in Taiwan . 1982. &nbsp;(List Pl. Taiwan,&nbsp;台灣植物名彙)', 'Liu, Illustrations of native and introduced ligneous plants of Taiwan . 1961. &nbsp;(Ill. Nat. Intr. Lign. Pl. Taiwan,&nbsp;台灣木本植物圖誌)']","Medium-sized Evergreen trees; bark and Leaves with cinnamon odor; branchlets glabrous.
Leaves opposite to alternate, coriaceous, ovate to ovate-oblong, acute to acuminate at apex, obtuse to sub-rounded at base, 8-12 cm long, 3-6 cm broad, glabrous and polished above, glaucous and glabrescent beneath, 3 main veins elevated on both sides, 2 main lateral veins reaching to upper 2/3-3/4 of midrib, lateral veins 2 or 3 pairs in addition to 2 main lateral veins, indistinct above, slightly distinct beneath, veinlets reticulate, elevated on both sides; petioles ca. 1 cm long, glabrous.
Inflorescences cymes, axillary or terminal, few-flowered, 4-7 cm long, sparsely tomentose; pedicels slender, 8-16 mm long, slightly tomentose; tepals 6, oblong, 3 mm long, 2 mm broad, obtuse at apex, sparsely tomentose outside, hirsute inside; 1st and 2nd whorles of stamens eglandular, filaments nearly glabrous, 3rd whorl glandular, glands on middle of filaments, thinly villous at base of filaments, 4th whorl staminodia, sagittate, sparsely villous on back, filaments villous; ovary ellipsoid, glabrous, 1 mm long, style 1.8 mm long, glabrous, stigma somewhat 3-lobed.
Drupe ellipsoidal, 1 cm long, 5 mm across.","400 to 1,500 m, broad-leaved forests in northern and central parts of the island.",,"['<a href=""/ebooks/FlTaiwan2nd/2/445"" target=""_blank"">LlAO, JIH CHING, Flora of Taiwan, second edition <b>2</b>: 445. 1996. &nbsp;(Fl. Taiwan 2nd edit.,&nbsp;台灣植物誌第二版)</a>']"
Lauraceae,Cinnamomum 樟屬,Cinnamomum reticulatum,土樟,Cinnamomum reticulatum Hayata,https://tai2.ntu.edu.tw/species/333%20003%2011%200,"['<a href=""/ebooks/MatFlFormos/0/239"" target=""_blank"">Hayata, Materials for a flora of Formosa 239. 1911. &nbsp;(Mat. Fl. Formos.)</a>']","['<a href=""/ebooks/MatFlFormos/0/239"" target=""_blank"">Hayata, Materials for a flora of Formosa 239. 1911. &nbsp;(Mat. Fl. Formos.)</a>']",[],"['Lee, Plant map - The lowland vegetation of Taiwan 34. 2000. &nbsp;(Pl. Map,&nbsp;植物地圖 - 台灣低海拔植物生態)', 'Lu, Ou &amp; Lu, Illustrations of Trees of Taiwan <b>1</b>: 82. 1997. &nbsp;(Ill. Tr. Taiwan,&nbsp;台灣樹木解說)', 'Yeh-Ching Liu, Fu-Yuan Lu &amp; Chern-Hsiung Ou, Trees of Taiwan revised . 1994. &nbsp;(Tr. Taiwan rev. ed.,&nbsp;台灣樹木誌第二版)', 'Yang, A list of plants in Taiwan . 1982. &nbsp;(List Pl. Taiwan,&nbsp;台灣植物名彙)', 'Liu, Illustrations of native and introduced ligneous plants of Taiwan . 1961. &nbsp;(Ill. Nat. Intr. Lign. Pl. Taiwan,&nbsp;台灣木本植物圖誌)']","Evergreen trees; branchlets stout, glabrous, light brown to deep brown when dry.
Leaves suboppo-site or alternate, coriaceous, dimorphic, obovate to long obovate, 4.2-6 cm long, 2-3.5 cm broad, obtuse or rounded at apex, cuneate at base, lustrous above, slightly dull, glaucous beneath, glabrous on both sides when young, with 3 main veins, the 2 lateral veins reaching to upper 2/3 of midrib, other lateral veins 2 or 3 pairs, midrib, lateral veins and veinlets elevated on both sides; petioles stout, 6-12 mm long, glabrous.
Inflorescences solitary to cymose-paniculate, axillary, 1-5-flowered, glabrous; pedicels glabrous, 2-4 mm long; tepals 6, obovate to broadly ovate, 3.5 mm long, 2 mm broad, obtuse at apex, glabrate outside, tomentose inside; 1st whorl of stamens eglandular, filaments sparsely villous at base, 2nd whorl of stamens 2-glandular on upper part of filaments, 3rd whorl eglandular, 4th whorl staminodia, sparsely villous, sagittate, stalks ca. 1.5 mm long; ovary ovoid, 0.8 mm long, glabrous, style 2.2 mm long, glabrous, dilated below the stigma, stigma disc-shaped.
Berry ellipsoid, 0.8-1 cm long, 5-7 mm. across; persistent receptacle very short, truncate at apex.","in thickcts, on rocky sea-cliffs, seashores and lowlands on the Hengchun Peninsula.",,"['<a href=""/ebooks/FlTaiwan2nd/2/446"" target=""_blank"">LlAO, JIH CHING, Flora of Taiwan, second edition <b>2</b>: 446. 1996. &nbsp;(Fl. Taiwan 2nd edit.,&nbsp;台灣植物誌第二版)</a>']"
Lauraceae,Cinnamomum 樟屬,Cinnamomum subavenium,香桂,Cinnamomum subavenium Miq.,https://tai2.ntu.edu.tw/species/333%20003%2012%200,"['Miq., Flora van Nederlandsch Indië <b>1</b>(1): 902. 1858. &nbsp;(Fl. Ned. Ind.)']","Liao, Quarterly journal of Chinese forestry <b>20</b>(3): 74. 1987. &nbsp;(Quart. J. Chin. For.,&nbsp;中華林學季刊)","['Cinnamomum randaiense</em> Hayata#####Hayata, Materials for a flora of Formosa 238. 1911. &nbsp;(Mat. Fl. Formos.)', 'Cinnamomum bartheifolium</em> Hayata#####Hayata, Icones Plantarum Formosanarum <b>5</b>: 153.<i> fig. 54.h.</i>  1915. &nbsp;(Icon. Pl. Formos.,&nbsp;台灣植物圖譜)', 'Cinnamomum longicarpum</em> Kanehira#####Kanehira, Form. Trees 425. 1917. ']","['Yeh-Ching Liu, Fu-Yuan Lu &amp; Chern-Hsiung Ou, Trees of Taiwan revised . 1994. &nbsp;(Tr. Taiwan rev. ed.,&nbsp;台灣樹木誌第二版)', 'Yang, A list of plants in Taiwan . 1982. &nbsp;(List Pl. Taiwan,&nbsp;台灣植物名彙)', 'Liu, Illustrations of native and introduced ligneous plants of Taiwan . 1961. &nbsp;(Ill. Nat. Intr. Lign. Pl. Taiwan,&nbsp;台灣木本植物圖誌)']","Medium-sized Evergreen trees; young branchlets and Leaves brown-tomentose.
Leaves nearly opp-osite, coriaceous, oblong to oblong-lanceolate, caudate to acuminate at apex, acute to cuneate at base, 7-11 cm long, 1.6-3.5 cm broad, smooth and shinning above, pubescent beneath, the 3 main veins impressed, concave and elevated above, elevated beneath, 2 main lateral veins reaching to 9/10 length of midrib, veinlets between lateral veins subparallel; petioles pubescent, ca. 0.8 cm long.
Inflorescences cymose-paniculate, axillary or terminal, peduncle, pedicel and perianth whitish-tomentose; tepals 6, ovate, 2.5 mm long, 1.8 mm broad, densely tomentose on both surfaces; fertile stamens 9, filaments villous, anthers ellipsoid, sparsely hairy on back, 1st and 2nd whorles of stamens eglandular, 3rd whorl with sessile glands, 4th whorl staminodia, sagittate, stalked, 0.6 mm long; ovary ellipsoid, glabrous, ca. 1.5 mm long, style about 2 mm long, glabrous.
Fruit oblong, 0.8-1.1 cm long, ca. 5-7 mm across, obtuse-rounded at apex.","from 700 to 2,100 m in the central mountains.","Central to south China, Burma, Cambodia, Vietnam, Malaysia, Indonesia.","['<a href=""/ebooks/FlTaiwan2nd/2/446"" target=""_blank"">LlAO, JIH CHING, Flora of Taiwan, second edition <b>2</b>: 446. 1996. &nbsp;(Fl. Taiwan 2nd edit.,&nbsp;台灣植物誌第二版)</a>']"
Lauraceae,Cinnamomum 樟屬,Cinnamomum tenuifolium f. nervosum,天竺桂,Cinnamomum tenuifolium Sugimoto f. nervosum (Meissn.) Hara,https://tai2.ntu.edu.tw/species/333%20003%2013%201,"['Hara, Journal of Japanese Botany <b>52</b>(9): 259. 1977. &nbsp;(J. Jpn. Bot.,&nbsp;植物硏究雑誌)']","Liao, Quarterly journal of Chinese forestry <b>20</b>(3): 73. 1987. &nbsp;(Quart. J. Chin. For.,&nbsp;中華林學季刊)","['Cinnamomum pseudopedunculatum</em> Hayata#####Hayata, Icones Plantarum Formosanarum <b>3</b>: 161. 1913. <i>valde prope..</i> &nbsp;(Icon. Pl. Formos.,&nbsp;台灣植物圖譜)', 'Cinnamomum reticulatum</em> <em>auct. non</em> Hayata#####Nakai, The Botanical magazine, Tokyo <b>32</b>: 218. 1918. &nbsp;(Bot. Mag. Tokyo,&nbsp;植物學雜誌)', 'Cinnamomum japonicum</em> Sieb. <em>ex</em> Nees#####Sasaki, List Pl. Form. (Sasaki) 192. 1928. ']","['Yeh-Ching Liu, Fu-Yuan Lu &amp; Chern-Hsiung Ou, Trees of Taiwan revised . 1994. &nbsp;(Tr. Taiwan rev. ed.,&nbsp;台灣樹木誌第二版)', 'Yang, A list of plants in Taiwan . 1982. &nbsp;(List Pl. Taiwan,&nbsp;台灣植物名彙)', 'Liu, Illustrations of native and introduced ligneous plants of Taiwan . 1961. &nbsp;(Ill. Nat. Intr. Lign. Pl. Taiwan,&nbsp;台灣木本植物圖誌)']","Medium-sized Evergreen trees, without cinnamon odor; branchlets terete, glabrous.
Leaves sub-opposite, often alternate, oblong to long-ovate, 6-13 cm long, 2-5 cm broad, coriaceous, acute at apex, obtuse at base, glabrous above, glaucous and later glabrous beneath, with 3 main veins, midrib elevated on both surfaces, other lateral veins 2 or 3 pairs in addition to 2 main lateral veins, elevated on both surfaces, veinlets indistinct above, reticulately elevated beneath; petioles 1-1.5 cm long, glabrous, stout, flat.
Inflorescences umbellate-cymose, axillary, glabrous, 5-7-flowered; peduncle 4-5 cm long; pedicels 6-7 mm long; tepals 6, broadly ovate, 2.5 mm long, obtuse, glabrous outside, densely pubescent inside; fertile stamens 9, 1st and 2nd whorles of stamens eglandular, filaments nearly glabrous, 3rd whorl with 2 sessile glands, 4th whorl staminodia, hirsute, sagittate at apex; ovary ovoid, the style 1.5 mm long, glabrous.
Berry ellipsoid, 1-1.2 cm long, 0.7 cm broad, violet-black.",known only from Lanyu Is.,"Korea, Japan, the Ryukyus, Bonins islands and Taiwan.","['<a href=""/ebooks/FlTaiwan2nd/2/448"" target=""_blank"">LlAO, JIH CHING, Flora of Taiwan, second edition <b>2</b>: 448. 1996. &nbsp;(Fl. Taiwan 2nd edit.,&nbsp;台灣植物誌第二版)</a>']"
Lauraceae,Cinnamomum 樟屬,Cinnamomum verum,錫蘭肉桂,Cinnamomum verum J. S. Presl,https://tai2.ntu.edu.tw/species/333%20003%2014%200,"['J. S. Presl, O Prirozenosti Rostlin <b>2</b>: 36, 37-44.<i> pl. 7.</i>  1825. &nbsp;(Prinoz. Rostlin)']","Liao, The Taxonomic Revisions of the Family Lauraceae in Taiwan 46.<i> fig. 21.</i>  1988. &nbsp;(Taxon. Revis. Fam. Laur. Taiwan,&nbsp;台灣樟科植物學名訂正)","['Cinnamomum zeylanicum</em> Bl.#####Kanehira, List Pl. Exper. Sta. For. Formos. 41. 1914. ']","['Yeh-Ching Liu, Fu-Yuan Lu &amp; Chern-Hsiung Ou, Trees of Taiwan revised . 1994. &nbsp;(Tr. Taiwan rev. ed.,&nbsp;台灣樹木誌第二版)', 'Yang, A list of plants in Taiwan . 1982. &nbsp;(List Pl. Taiwan,&nbsp;台灣植物名彙)']","Evergreen trees; bark blackish-brown, with aromatic odor; buds sericeous; young branchlets 4-angular, gray with white dots.
Leaves opposite, ovate to ovate-elliptic, coriaceous, 11-16 cm long, 4.5-5.5 cm wide, short acuminate at apex, obtuse at base, green, lustrous above, pale-greenish-white beneath, glabrous on both sides, with 3 main veins, midrib and lateral veins prominent on both sides; petioles 2 cm long, glabrous.
Inflorescences paniculate, axillary or terminal, 10-12 cm long; peduncles and pedicels sericeous; flowers yellow, 6 mm long; tepals 6, elliptic, sericeous outside; fertile stamens 9, filaments hairy at base, 1st and 2nd whorles of stamens eglandular, anthers 4-celled, introrse, 3rd whorl of stamens with 2 glands, anthers extrorse; ovary ovate, glabrous, the style short, stigma disc-like.
Fruit ovate-globose, 1-1.5 cm long, black.",,"Sri Lanka (Ceylon). Cultived in tropical Asia, particularly in Malaysia, Vietnam, Indonesia, Kwangtung, China.","['<a href=""/ebooks/FlTaiwan2nd/2/448"" target=""_blank"">LlAO, JIH CHING, Flora of Taiwan, second edition <b>2</b>: 448. 1996. &nbsp;(Fl. Taiwan 2nd edit.,&nbsp;台灣植物誌第二版)</a>']"
Lauraceae,Cryptocarya 厚殼桂屬,Cryptocarya chinensis,厚殼桂,Cryptocarya chinensis (Hance) Hemsl.,https://tai2.ntu.edu.tw/species/333%20004%2001%200,"['Hemsl., The journal of the Linnean Society of London. Botany <b>26</b>: 370. 1891. &nbsp;(J. Linn. Soc., Bot.)']","<a href=""/ebooks/MatFlFormos/0/236"" target=""_blank"">Hayata, Materials for a flora of Formosa 236. 1911. &nbsp;(Mat. Fl. Formos.)</a>",[],"['Yeh-Ching Liu, Fu-Yuan Lu &amp; Chern-Hsiung Ou, Trees of Taiwan revised . 1994. &nbsp;(Tr. Taiwan rev. ed.,&nbsp;台灣樹木誌第二版)', 'Yang, A list of plants in Taiwan . 1982. &nbsp;(List Pl. Taiwan,&nbsp;台灣植物名彙)', 'Liu, Illustrations of native and introduced ligneous plants of Taiwan . 1961. &nbsp;(Ill. Nat. Intr. Lign. Pl. Taiwan,&nbsp;台灣木本植物圖誌)']","Medium-sized Evergreen trees; young branchlets reddish brown tomentose, slender, terete.
Leaves alternate, thick chartaceous, oblong, ovate-oblong to broadly elliptic, 7-13 cm long, 3-6 cm broad, caudate-acuminate at apex, obtuse at base, glabrous above, slightly pubescent and glaucous beneath, brown when dry, the 3 main veins concave or flattened above, elevated beneath, other lateral veins 2 or 3 pairs, often in upper 1/2 of blade, impressed or flattened above, slightly elevated beneath, veinlets reticulate; petioles 0.8-1.4 cm long, glabrous, young Leaves nearly glabrous on both sides except at base of midrib beneath; petioles 0.8-1.4 cm long, glabrous.
Inflorescence cymose-paniculate, 2.5 cm long, axillary or terminal, light brown-tomentose; tepals 6, oblong 1.5 mm long, 0.8-1 mm broad, densely tomentose inside, obtuse; fertile stamens 9, filaments 1 mm long, villous, anthers 2-celled, 1st and 2nd whorles of stamens, eglandular, anthers introrse, 3rd whorl with 2 subsessile glands, anthers extrorse, 4th whorl staminodia, sagittate, villous at base; ovary long ovoid, 1 mm long, glabrous, style slender, ca. 2 mm long, glabrous.
Berry compressed-globose, enclosed in the enlarged perianth tube, ca. 1 cm long, 1.2 cm broad, with longitudinal ridges.","in forests from 500 to 1,000 m throughout the island.",South China and Japan.,"['<a href=""/ebooks/FlTaiwan2nd/2/449"" target=""_blank"">LlAO, JIH CHING, Flora of Taiwan, second edition <b>2</b>: 449. 1996. &nbsp;(Fl. Taiwan 2nd edit.,&nbsp;台灣植物誌第二版)</a>']"
Lauraceae,Cryptocarya 厚殼桂屬,Cryptocarya concinna,土楠,Cryptocarya concinna Hance,https://tai2.ntu.edu.tw/species/333%20004%2002%200,"['Hance, Journal of botany, British and foreign <b>20</b>: 79. 1882. &nbsp;(J. Bot.)']","C. E. Chang, National science council monthly <b>3</b>(11): 65. 1975. &nbsp;(Month. Develop. Sci.,&nbsp;科學發展月刊)","['Cryptocarya konishii</em> Hayata#####Hayata, Materials for a flora of Formosa 237. 1911. &nbsp;(Mat. Fl. Formos.)']","['Lu, Ou &amp; Lu, Illustrations of Trees of Taiwan <b>1</b>: 86. 1997. &nbsp;(Ill. Tr. Taiwan,&nbsp;台灣樹木解說)', 'Yeh-Ching Liu, Fu-Yuan Lu &amp; Chern-Hsiung Ou, Trees of Taiwan revised . 1994. &nbsp;(Tr. Taiwan rev. ed.,&nbsp;台灣樹木誌第二版)', 'Yang, A list of plants in Taiwan . 1982. &nbsp;(List Pl. Taiwan,&nbsp;台灣植物名彙)', 'Liu, Illustrations of native and introduced ligneous plants of Taiwan . 1961. &nbsp;(Ill. Nat. Intr. Lign. Pl. Taiwan,&nbsp;台灣木本植物圖誌)']","Medium-sized Evergreen trees; trunk about 18 m tall, 35 cm across; bark gray; branchlets nearly glabrous, terete, with lenticels.
Leaves alternate, coriaceous, oblong, obovate or broadly lanceolate, 6-13 cm long, 3-5.5 cm broad, acute at both ends, entire, somewhat revolute, glabrous above, glaucous-glabrescent beneath, midrib slightly concave, impressed above, elevated beneath, lateral veins 5-6 pairs, slightly indistinct above, prominent beneath, reticulate veinlets slightly visible above, distinct beneath; petioles 0.8-1.2 cm long, sparsely pubescent becoming glabrescent after.
Inflorescences cymose-paniculate, axillary or terminal; peduncles 3 cm long, short hairy; flowers turbinate; tepals 6, oblong to ovate, 1.3 mm long, tomentose on both sides; fertile stamens 9, filaments 1 mm long, villous, eglandular, anthers introrse, 2-celled, 3rd whorl of stamens glandular, anthers extrorse, 4th whorl staminodia, 0.8 mm long, sparsely villous, long ovoid; ovary ovoid-oblong, glabrous, style ca. 1.1 mm long, glabrous.
Fruit ovoid, 1.2-1.5 cm long, 0.8-1 cm broad, black, acutish-pointed at apex, with 12 longitudinal ridges.","in broad-leaved forests from 500 to 1,500 m throughout the Island.",South China.,"['<a href=""/ebooks/FlTaiwan2nd/2/449"" target=""_blank"">LlAO, JIH CHING, Flora of Taiwan, second edition <b>2</b>: 449. 1996. &nbsp;(Fl. Taiwan 2nd edit.,&nbsp;台灣植物誌第二版)</a>']"
Lauraceae,Cryptocarya 厚殼桂屬,Cryptocarya elliptifolia,菲律賓厚殼桂,Cryptocarya elliptifolia Merr.,https://tai2.ntu.edu.tw/species/333%20004%2003%200,"['Merr., Philippine Journal of Science <b>14</b>: 396. 1919. &nbsp;(Philipp. J. Sci. (Bot.))']","Chang, Bulletin of Taiwan Provincial Pingtung Institute of Agriculture <b>20</b>: 32. 1978. &nbsp;(Bull. Taiwan Prov. Ping. Inst. Agr.,&nbsp;農專學報)",[],"['Yeh-Ching Liu, Fu-Yuan Lu &amp; Chern-Hsiung Ou, Trees of Taiwan revised . 1994. &nbsp;(Tr. Taiwan rev. ed.,&nbsp;台灣樹木誌第二版)']","Medium-sized Evergreen trees; branchlets glabrous, brownish-black when dry; buds hirsute.
Leaves ovate-elliptic, coriaceous, 9-11 cm long, 4.5-6 cm broad, short acuminate at apex, obtuse at base, lateral veins 5-6 pairs, reticulate veinlets prominent; petioles ca. 1 cm long, stout, glabrous.
Inflorescences paniculate, axillary, ca. 7-8 cm long, hirsute; flowers ca. 1.5 mm long; tepals 6, elliptic-obovate, 1.5 mm long, obtuse, densely hirsute on both surfaces; fertile stamens 9, anthers 2-celled, filaments villous; ovary glabrous.
Fruit globose, ca. 2 cm across, glabrous, black, longitudinally ridged.",found only on Lanyu Is.,The Philippines.,"['<a href=""/ebooks/FlTaiwan2nd/2/451"" target=""_blank"">LlAO, JIH CHING, Flora of Taiwan, second edition <b>2</b>: 451. 1996. &nbsp;(Fl. Taiwan 2nd edit.,&nbsp;台灣植物誌第二版)</a>']"
